# DEPTH(m)    AC_TDR_CORRECTED(us/ft)    RHO_TDR_CORRECTED(kg/m3)
730.2941 148.695001 2083.222010
730.3941 147.514149 2087.346877
730.4941 145.890015 2093.107018
730.5941 143.796604 2100.665216
730.6942 141.501915 2109.118084
730.7941 140.149952 2114.178022
730.8941 140.148713 2114.178022
730.9941 140.149196 2114.178022
731.0941 142.922403 2103.849240
731.1942 146.815336 2089.768154
731.2941 150.993990 2075.168506
731.3941 154.643364 2062.833123
731.4941 157.200465 2054.417130
731.5941 158.077289 2051.595520
731.6942 158.089844 2051.595520
731.7941 158.102102 2051.595520
731.8941 157.003678 2055.186165
731.9941 155.675564 2059.565884
732.0941 154.476425 2063.564562
732.1942 154.480264 2063.564562
732.2941 154.485077 2063.564562
732.3941 154.946862 2062.043024
732.4941 156.835625 2055.822114
732.5941 159.205364 2048.145484
732.6942 161.507083 2040.828242
732.7941 163.249773 2035.383753
732.8941 164.254434 2032.293484
732.9941 164.711075 2030.917589
733.0941 165.018691 2030.008040
733.1942 165.521290 2028.504823
733.2941 166.356858 2025.993476
733.3941 167.475394 2022.643844
733.4941 168.754913 2018.842078
733.5941 170.109407 2014.856190
733.6942 171.522071 2010.835909
733.7941 173.053576 2006.814708
733.8941 174.564797 2002.859308
733.9941 175.973334 1999.173599
734.0941 177.181105 1996.027891
734.1942 178.080145 1993.713613
734.2941 178.137381 1993.713613
734.3941 178.172834 1993.713613
734.4941 176.759548 1997.749705
734.5941 173.954498 2005.780863
734.6942 169.895661 2017.639483
734.7941 165.076074 2032.138656
734.8941 160.234760 2047.174248
734.9941 156.124652 2060.278279
735.0941 153.343779 2069.208935
735.1942 153.205066 2069.208935
735.2941 153.044657 2069.208935
735.3941 154.681575 2063.090148
735.4941 157.553541 2052.766122
735.5941 160.589194 2040.942116
735.6942 163.696697 2029.223459
735.7941 166.529696 2018.910991
735.8941 168.798107 2010.759553
735.9941 170.365422 2005.039067
736.0941 171.226908 2001.663324
736.1942 171.002482 2001.663324
736.2941 170.863340 2001.663324
736.3941 170.550396 2002.407519
736.4941 169.684569 2004.995645
736.5941 168.792914 2007.924113
736.6942 168.057559 2010.665596
736.7941 167.600275 2012.855790
736.8941 167.424977 2014.473689
736.9941 167.407008 2015.883919
737.0941 167.367211 2017.618574
737.1942 167.173928 2020.078316
